Тип	Термозащита 	Доп функции	Уход  (увлажнение/ питание/ восстановление)	Наименование	Фото	Состав  (внимание! Составы взяты с сайтов маркетплейстов, при нахождении несоответсвия просьба сообщить)	Производство	Комментарий	ч
Масло	Утюг ●●●	Пленки, защита от внешних факторов	Питание	Olaplex  No. 7 bonding oil восстанавливающее масло "капля совершенства"		Dimethicone, Isohexadecane, C13-14 Isoparaffin, Coco-Caprylate, Phenyl Trimethicone, Bis-Aminopropyl Diglycol Dimaleate, Propanediol, Zea Mays (Corn) Oil, Beta-Carotene, Helianthus Annuus (Sunflower) Seed Oil, Moringa Oleifera Seed Oil, Punica Granatum Seed Oil, Water(Aqua) Morinda Citrifolia Fruit Powder, Fragrance(Parfum), Hexyl Cinnamal, Eclipta Prostrata Extract, Ethylhexyl Methoxycinnamate, Limonene, Tocopherol, Citral, Linalool, Melia Azadirachta Leaf Extract, Citronellol, Pzeudozyma Epicola/Camellia Sinensis Seed Oil Ferment Extract Filtrate.	США 	Не подходит для кудряшек	Высокая
Сыворотка	Фен ●	Антистатик, пленки	Увлажнение	Olaplex  No. 9 Bond Protector Nourishing Hair Serum Сыворотка для волос 		aqua (water), propanediol, betaine, quaternium-22, sodium hyaluronate, bis-aminopropyl diglycol dimaleate, cetrimonium chloride, panthenol,  hydroxyethylcellulose, pvp, guar hydroxypropyltrimonium chloride, furcellaria lumbricaris, pelvetia canaliculata extract, xylitylglucoside, polyquaternium-44, anhydroxylitol, maltitol, citric acid, trisodium ethylenediamine disuccinate, xylitol, sorbic acid, phenoxyethanol, ethylhexylglycerin, sodium benzoate, parfum (fragrance), citral, citronellol, hexyl cinnamal, limonene, linalool	США 	Кудряшкам можно пробовать	Высокая
Крем-спрей	Фен ●	Антистатик, пленки	Увлажнение	Ollin Professional Leave in cream spray 12 в 1 Крем-спрей многофункциональный 		Aqua, Myristyl Alcohol, Cetrimonium Chloride, Cyclopentasiloxane, Bis-Hydroxy/Methoxy Amodimethicone, Glycerin, Propylene Glycol, Phenoxyethanol, Citric acid, Parfum, Panthenol, Polyquaternium-70, Sodium PCA, Hydrolyzed Keratin, Dipropylene Glycol, Ethylhexylglycerin, Benzophenone-4, Citral, Eugenol	РФ/СНГ	Кудряшкам можно пробовать	Средняя
Спрей	Фен (слабая) ●	Антистатик, пленки	Увлажнение	Ollin Professional Perfect hair - Antistatic hair spray Спрей-антистатик		Aqua, Glycerin, Linoleamidopropyl PG-Dimonium Chloride Phosphate, Cetrimonium Chloride, Amodimethicone, C11-15 Alketh-7, Laureth-9, Trideceth-12, PEG-40 Hydrogenated Castor Oil, Parfum, DMDM Hydantoin, Sodium Benzoate, Panthenol, Saccharum Officinarum (Sugar Cane) Extract, Citrus Limon (Lemon) Fruit Extract, Betaine, Hexylene Glycol, Pyrus Malus (Apple) Fruit Extract, Camellia Sinensis Leaf Extract, Hexapeptide-11, Tetrasodium EDTA, Citric acid.	РФ/СНГ		Средняя
Спрей	Фен ●	Антистатик, пленки	Увлажнение	Ollin Professional Perfect hair fresh mix  Фруктовая сыворотка для волос 		Aqua, Cetearyl Alcohol, Isopropyl Myristate, Propylene Glycol, Bis-Diisopropanolamino-PG-Propyl Dimethicone/Bis-Isobutyl PEG-14 Copolymer, Polysorbate 20, Butyloctanol, PEG-8, PEG-8/SMDI Copolymer, Palmitoyl Myristyl Serinate, Sodium Polyacrylate, Lactic Acid, Behenamidopropyl Dimethylamine, Vincetoxicum Atratum Root Extract, Butylene Glycol, Malus domestica Fruit Extract, Actinidia chinensis Fruit Extract, Vitis vinifera Fruit Extract, Parfum, Limonene, Linalool, Alpha-isomethyl ionone, Citral, Citronellol, Geraniol, Methylchloroisothiazolinone, Methylisothiazolinone.	РФ/СНГ	Кудряшкам не подойдет	Средняя
Спрей	Фен (слабая) ●	Антистатик, пленки	Увлажнение Восстановление	Ollin Professional  Smooth Hair Spray Термозащитный разглаживающий спрей 		water, hydroxypropyltrimonium hydrolyzed corn starch, cetrimonium chloride, propylene glycol, silicone quaternium-16, undeceth-11, peg-40, hidrogenated castor oil, d-pantenol, hydrolyzed silk, phytantriol, fragrance, 5-chlor-2-methil-4-isothiazolin-3-one, 2-methil-4-isothiazolin-3-one, hexyl cinnamal, linalool, butylphenyl methilpropional, citronellol, benzyl salicylate, geraniol, hydroxycitronellal, amyl cinnamal, limonene, hidroxyisohexyl 3-cyclohexene, isoeugenol, citral	РФ/СНГ	Кудряшкам не подойдет	Средняя
Крем	Браш ●●	Пленки, защита от внешних факторов	Увлажнение Питание	ORGANICALS Abundance Silk Moringa Несмываемый крем для волос		Aqua [Water], Cyclopentasiloxane, Propylene glycol, Myristyl alcohol, Dimethiconol, Cetrimonium chloride, Moringa oleifera seed oil, Argania spinosa kernel oil, Camellia japonica seed oil, Plukenetia volubilis seed oil, Ethylhexyl methoxycinnamate, Butyl methoxydibenzoylmethane, Lycium barbarum fruit extract, Glycerin, Lactic acid, Tocopherol, Phenoxyethanol, Sodium dehydroacetate, Benzyl alcohol, Potassium sorbate, Hexyl cinnamal, Parfum [Fragrance].	ЕС		
Спрей	Браш ●●	Антистатик, пленки	Питание Восстановление	Oyster Cutinol Plus  Discipline Macadamia & Monoi  Heat Protection Spray		Water, Cyclopentasiloxane, Glyoxylic Acid, Cetearyl Alcohol, Cetrimonium Chloride, Macadamia Ternifolia Seed Oil, Cocos Nucifera Oil, Gardenia Tahitensis Flower Extract, Wheat Amino Acids, Soy Amino Acids, Threonine, Arginine Hci, Serine, Glyceryl Laurate, Vp Dmapa Acrylates Copolymer, Glycerin, Benzyl Alcohol, Parfum, Benzyl Salicylate, Limonene, Linalool, Coumarin, Alpha-Isomethyl Ionone	ЕС		Высокая
Крем	Фен ●	Пленки, защита от внешних факторов	Комплексный уход (увлажнение, питание, восстановление)	Petrova Professional  Oil Replacement Extra Care  Кондиционер для волос "Экстра уход от выпадения волос" с мультивитаминным комплексом		Aqua, Cetearyl Alcohol, Stearamidopropyl Dimethylamine, Light Liquid Paraffin, Glyceryl Stearate, PEG-100 Stearate, Dimethicone, Cyclopentasiloxane, Hydrolysed Keratin, Argania Spinosa (Argan) Oil, Parfum, Disodium EDTA, Isopropyl Myristate, Glycine Soja (Soybean) Oil, Carthamus Tinctorius (Safflower) Seed Oil, Linoleic Acid , Tocopheryl Acetate, Retinyl Palmitate, Lactic Acid, Phenoxyethanol, Ethylhexylgylcerine, Benzyl Salicylate, D Limonene	ОАЭ	Не подходит для кудряшек	Средняя
Спрей	Фен (слабая) ●	Антистатик, пленки	Питание	Philip Kingsley  Daily Damage Defence Daily Leave-In Conditioner  Защитный спрей для волос 		Aqua (Water), Ethylhexyl Dimethyl PABA, PEG-75 Lanolin, Quaternium-91, Cetearyl Alcohol, Parfum (Fragrance), Cetrimonium Methosulfate, Cetyl Alcohol, Silicone Quaternium-16, Cyclopentasiloxane, Citric Acid, Behentrimonium Methosulfate, Panthenol, Quaternium-33, Cyclohexasiloxane, Undeceth-11, Hydrolyzed Sweet Almond Seedcake, Ethylhexylglycerin, Butyloctanol, Undeceth-5, Disodium EDTA, Hydrolyzed Elastin, Acetic Acid, Phenoxyethanol, Sodium Benzoate, Iodopropynyl Butylcarbamate, Limonene	UK	Можно использовать кудряшкам	Высокая
Молочко	Нет	Антистатик, смягчение, распутывание, пленки	Питание	ProКудри  Молочко для кудряшек  Несмываемый уход для кудрявых волос 		Aqua, Behentrimonium Methosulfate, Ceteary| Alcohol, Caprylic/Capric Triglyceride, Butyrospermum Parkii (Shea) Butter, Polyquaternium-7, Cocos Nucifera (Coconut) Oil, Brassica Oleracea Italica Seed Oil, Burdock (Arctium Lappa) Root Infused Oil, Cannabis Sativa Seed Oil, Macadamia Terifolia Seed Oil, Amla Oil, Sesamum Indicum Seed Oil, Argan Spinosa Kemel Oil, Glycerin, Parfum, Hydrolyzed Wheat Protein, Guar Hydroxypropy/trimonin Chloride, Panthenol, Benzyl Alcohol, Benzoic Acid, Sorbic Acid, Citric Acid	РФ/СНГ	Для любого типа волос	Средняя
Крем 	Фен ●	Пленки, защита от внешних факторов	Комплексный уход (увлажнение, питание, восстановление)	Rated Green Cold Pressed Shea Butter Protein Recharging Leave-in Treatment		Glycerin, Water, Cyclopentasiloxane, Dimethicone, Cetearyl Alcohol, Dicaprylyl Carbonate, Propylene Glycol, Steartrimonium Chloride, Behentrimonium Chloride, Butyrospermum Parkii (Shea) Butter, Glycine Soja (Soybean) Seed Extract, Citrus Aurantium Dulcis (Orange) Peel Oil, Avena Sativa (Oat) Kernel Protein, Aloe Barbadensis Leaf Juice, Hydroxyethylcellulose, Quanternium-80, Cetyl Esters, Dipropylene Glycol, Pentylene Glycol, 1,2-Hexanediol, Butelene Glycol, Octanediol, Tocopherol, Ethylhexylglycerin, Citric Acid, Stearyl Alcohol, Sodium Benzoate, Potassium Sorbate, Parfum (Frangrance), Limonene, Linalool, Citronellol, Benzyl Benzoate, Geranio, Benzyl Salicylate	Корея	Кудряшкам не подойдёт	Высокая 
Крем	Нет	Смягчение, распутывание, пленки	Комплексный уход (увлажнение, питание, восстановление)	Rated Green  Real shea anti-frizz hydrating hair lotion  Увлажняющий лосьон для волос с маслом ши холодного отжима		Water, Cetyl Ethylhexanoate, Butylene Glycol, Cetearyl Alcohol, Glycerin, Chondrus Crispus Extract, Saccharum Officinarum (Sugarcane) Extract, Butyrospermum Parkii (Shea) Butter, Simmondsia Chinensis (Jojoba) Seed Oil, Avena Sativa (Oat) Kernel Protein, Ammonium Acryloyldimethyltaurate/VP Copolymer, Glyceryl Stearate, Polyglyceryl-3 Methylglucose Distearate, Caprylyl Glycol, Glyceryl Caprylate, Cetearyl Glucoside, Glucose, Disodium EDTA, Fragrance(Parfum)	Корея	Для любого типа волос	Высокая
Масло	Утюг ●●●	Пленки, защита от внешних факторов	Питание	Rene  Furterer Solaire Protective Summer Oil		SD Alcohol 39-C (Alcohol Denat) Cyclomethicone C12-15 Alkyl Benzoate Ethylhexyl Methoxycinnamate Sesamium Indicum (Sesame) Seed Oil (Sesamum Indicum) Ricinus Communis (Castor) Seed Oil (Ricinus Communis) Fragrance (Parfum)	ЕС	Можно использовать кудряшкам, может подсушивать волосы	Высокая
Флюид	Браш ●●	Антистатик, пленки, защита от внешних факторов	Восстановление	Revlon Professional  Equave Instant Beauty Keratin Enriched Conditioner   Кондиционер несмываемый двухфазный для защиты от солнца для волос		Aqua/Water/Eau, Cyclopentasiloxane, Cocodimonium Hydroxypropyl Hydrolyzed Keratin, Cocodimonium Hydroxypropyl Hydrolyzed Wheat Protein, Disiloxane, Disodium EDTA, Gluconolactone, Lactic Acid, PEG-12 Dimethicone, Phenyl Trimethicone, Polyquaternium-16, Polyquaternium-6, Tocopheryl Acetate, Benzophenone-4, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Ethylhexyl Methoxycinnamate, Parfum (Fragrance), Benzyl Benzoate, Citral, Limonene, Linalool, Sodium Benzoate, Orange 4 (CI 15510), Red 33 (CI 17200), Yellow 5 (CI 19140). Y00588.	ЕС	Кудряшкам не подойдет	Высокая
Масло	Утюг ●●●	Пленки, защита от внешних факторов	Питание	Revlon Professional  Orofluido Эликсир для красоты волос с маслом арганы		Cyclopentasiloxane, Dimethiconol, Argania Spinosa Kernel Oil, Cyperus Esculentus Root Oil, Parfum (Fragrance), Isopropyl Palmitate, Linum Usitatissimum (Linseed) Seed Oil, Benzophenone-3, BHA< Hydroxyisohexyl -3- Cyclohexene Carboxaldehyde, CI 47000 (Yellow 11), CI 26100 (Red 17)	ЕС	Кудряшкам не подойдет	Высокая
Спрей	Утюг ●●●	Пленки, защита от внешних факторов	Поверхностный уход 	Revlon Professional  Pro you fixer Спрей для термозащиты волос		cyclopentasiloxane, isododecane, alcohol denat., c12-15 alkyl benzoate, bis-hydroxy/methoxy amodimethicone, ethylhexyl methoxycinnamate, propylene glycol dicaprylate/dicaprate, amodimethicone, lauric acid, lauryl alcohol diphosphonic acid, pentylene glycol, benzophenone-3, parfum (fragrance), citronellol, eugenol, limonene,  linalool. y00351	ЕС	Кудряшкам не подойдет, может подсушивать волосы	Высокая
Сыворотка	Нет	Комплексный уход длительного воздействия	Увлажнение	Revox Just Hyaluronic acid 2% for hair Увлажняющая сыворотка для волос и кожи головы		Aqua, Propylene Glycol, Betaine, Glycerin, Ethoxydiglycol, Sodium Hyaluronate, Panthenol, Hydroxyethylcellulose, Ppg-1-Peg-9 Lauryl Glycol Ether, Phenoxyethanol, Disodium Edta	ЕС	Можно использовать для пересушенной кожи головы	Средняя
Крем	Нет	Комплексный уход длительного воздействия	Комплексный уход  (питание, увлажнение) 	Richee Professional Leave-in Cacau Power Nutri  Питательный несмываемый крем		Water, Cetearyl Alcohol, Glycerol, Behentrimonium Methosulfate, C10-40 Isoalkylamidopropylethyldimonium Ethosulfate, Cetyl Alcohol, PEG-90M, Decamethylcyclopentasiloxane, Cetrimonium Chloride, Polyquaternium-10, Cocoa Seed Butter, Coconut Oil, Dimethicone/Vinyl Dimethicone Crosspolymer, Perfume, DMDM ​​Hydantoin, Dimethiconol, Polyquaternium-67, Octinoxate, Disodium Edetate, Sodium PCA, Sodium Lactate, Arginine, Aspartic Acid, Mica, PCA, Linalool, Limonene, Glycine, Alanine, Serine, Valine, Proline, Threonine, Isoleucine, Histidine, Phenylalanine, Coumarin, Brown Dye 77480, Black Dye 20470, Tartrazine Yellow Dye 19140	Бразилия	18-mea Prodew 500	Высокая
Спрей	Нет	Комплексный уход длительного воздействия	Комплексный уход (увлажнение, питание, восстановление)	SAVONRY  Hair mist Conditioner  Мист-кондиционер для волос, с протеинами риса, пшеницы и концентрированными 		Aqua, Betaine (триметилглицин из сахарной свеклы), Panthenol (провитамин В5), Actinidia Chinensis (Kiwi) Juice, Citrus Aurantium Dulcis (Orange) Juice, Fragaria Ananassa (Strawberry) Juice, Pyrus Malus (Apple) Juice, Vitis Vinifera (Grape) Juice (смесь концентрированных соков апельсина, киви, клубники, винограда и яблока), Pentylene Glycol (Hydrolite® 5 green), Hydrolyzed Rice Bran Protein (протеины риса), Hydrolyzed Wheat Protein (протеины пшеницы), Simmondsia Chinensis (Jojoba) Seed Oil (масло жожоба), Citric Acid (лимонная кислота).	РФ/СНГ	Для любого типа волос	Средняя
Спрей	Нет	Комплексный уход длительного воздействия	Комплексный уход (увлажнение, питание, восстановление)	Schwarzkopf BC Moisture Kick Spray Conditioner Glycerol		Aqua (Water, Eau), Dicaprylyl Carbonate, Glycerin, Panthenol, Soy Amino Acids, Wheat Amino Acids, Serine, Threonine, Arginine HCl, PEG-7 Glyceryl Cocoate, Cetyl Ethylhexanoate, Parfum (Fragrance), Citric Acid, Sodium Benzoate, Cetrimonium Chloride, Linalool, Guar Hydroxypropyltrimonium Chloride, Citronellol, Alpha-Isomethyl Ionone, Geraniol, Limonene, Benzyl Alcohol, Potassium Sorbate 	ЕС	Для любого типа волос	Высокая
Спрей	Фен ●	Антистатик, пленки	Восстановление	Schwarzkopf Got2b  Выпрямляющий cпрей для укладки волос утюжок, термозащитный		Aqua (Water, Eau)*Alcohol denat.*VP/VA Copolymer*Laurdimonium Hydroxypropyl Hydrolyzed Collagen*Parfum (Fragrance)*Cetrimonium Chloride*Sodium Benzoate*Hydrolyzed Silk*Phosphoric Acid*Butylene Glycol*Hydrolyzed Keratin*Linalool*Hexyl Cinnamal*Limonene*Geraniol*Citronellol*Benzyl Salicylate*Benzyl Alcohol*Methylparaben	ЕС	Можно использовать кудряшкам, может подсушивать волосы	Средняя
Спрей	Браш ●●	Антистатик, пленки, разглаживание, защита от внешних факторов	Увлажнение	Schwarzkopf Gliss Kur Aqua Miracle Спрей-кондиционер		Aqua (water, eau), Cyclomethicone, Phenyl trimethicone, Dimethylsilanol hyaluronate, Laminaria saccharina extract, Panthenol, Hydrolyzed keratin, Glycerin, Lactic acid, Sodium benzoate, Dimethiconol, Cetrimonium chloride, Phenoxyethanol, Potassium sorbate, Polyquaternium-16, Linalool, Benzyl alcohol, Parfum (fragrance), Benzyl salicylate, Cetyl PEG/PPG-10/1 dimethicone 	РФ/СНГ	Кудряшкам не подойдет	Средняя
Спрей	Браш ●●	Антистатик, пленки, разглаживание, защита от внешних факторов	Увлажнение	Schwarzkopf Gliss Kur Aqua Revive Спрей-кондиционер		Aqua (Water, Eau), Trisiloxane, Dimethicone, Prunus Armeniaca (Apricot) Kernel Oil, Phenyl Trimethicone, Dimethylsilanol Hyaluronate, Glycerin, Laminaria Saccharina Extract, Hydrolyzed Keratin, Dimethiconol, Polyquaternium-16, Parfum (Fragrance), Cetyl PEG/ PPG-10/1 Диметикон, Цетримон хлорид, Лактический acid, Panthenol, Sodium Benzoate, Benzyl Salicylate, Linalool, Phenoxyethanol, Potassium Sorbate, Benzyl Alcohol	ЕС РФ/СНГ	Кудряшкам не подойдет	Средняя
Спрей	Браш ●●	 Пленки, защита от внешних факторов	Питание Восстановление	Schwarzkopf Gliss Kur Split Ends Miracle Express Repair Conditioner		Aqua, Trisiloxane, Dimethicone, Prunus Armeniaca Kernel Oil, Phenyl Trimethicone, Hydrolyzed Keratin, Guar Hydroxypropyltrimonium Chloride, Vitis Vinifera Seed Oil, Dimethiconol, Polyquaternium-16, Parfum, Cetyl PEG/PPG-10/1 Dimethicone, Cetrimonium Chloride, Lactic Acid, Sodium Benzoate, Limonene, Benzyl Salicylate, Hexyl Cinnamal, Benzyl Alcohol, Coumarin, Alpha-Isomethyl Ionone, Phenoxyethanol, Potassium Sorbate.	ЕС РФ/СНГ		
Крем-спрей	Фен ●	Антистатик, пленки	Поверхностный уход 	SERGIO PROFESSIONAL Мультиактивный спрей 12 в 1 		Aqua (Water), Myristyl Alcohol, Quaternium-80, Phenoxyethanol, Cyclopentasiloxane, Cetrimonium Chloride, Pаrfume (fragrance), Amodimethicone, Dimethiconol, Argania Spinosa Kernel Oil, Ethylhexylglycerin, Linum usitatissimum (Linseed) seed oil, Macadamia integrifolia seed oil, Sodium laneth-40 maleate/styrene sulfonate copolymer,  Propylene glycol, Butylphenyl Methylpropional, Trideceth-10, Hydrolyzed Wheat Protein, Butylene Glycol, Hydroxypropyltrimonium Hydrolyzed Corn Starch, Benzophenone-4, Citric acid, Keratin amino acids, PEG-40 hydrogenated castor oil, Tocopheryl acetate, Hydrolyzed Silk, Glycerin, Hypnea Musciformis Extract, Benzyl Benzoate, Linalool, Alpha-isomethyl ionone, Camellia Sinensis Leaf Extract.	ЕС		Средняя
Спрей	Нет		Увлажнение Питание	Sim Sensitive Forme Essentials Conditioning Mist   Несмываемый кондиционер-спрей для волос с маслом семян овса		Aqua, Glycerin, Betaine, PEG-6 Caprylic Capric Glycerides, Avena Sativa Kernel Oil, Panthenol, Polysorbate 20, PEG-40 Hydrogenated Castor Oil, Ethylhexyl Methoxycinnamate, Parfum, Butylphenyl Methylpropional, Citronellol, Hexyl Cinnamal, Linalool, Polyquaternium-28, Aloe Barbadensis Leaf Juice, Cetrimonium Chloride, Phenoxyethanol, Ethylhexylglycerin, Caprylyl Glycol, Pantolactone, Citric Acid, Sodium Benzoate.	Финляндия		Высокая
Масло	Утюг ●●●	Пленки, защита от внешних факторов	Питание	Sono Argan, the oil Масло для волос		Dimethicone, Dimethiconol, Isododecane, Argania spinosa kernel oil, Daucus carota extract, Zea mays germ oil, Linalool, Limonene, Eugenol, Citronellol, Parfum	ЕС		Высокая
Спрей	Фен ●	Антистатик, пленки, защита от внешних факторов	Увлажнение Питание	Sun Energy  Солнцезщитный спрей для волос с гиалуроновой кислотой		Aqua, Amodimethicone, Cetrimonium Chloride, Trideceth-10, Aloe Barbadensis Leaf Juice, PEG-12 Dimethicone, PEG-40 Hydrogenated Castor Oil, Sodium Hyaluronate, Wheat Amino Acids, Soy Amino Acids, Arginine HCl, Serine, Threonine, Octyl Salicylate, Undeceth-11, Butyloctanol, Undeceth-5, Silicone Quaternium-16, Parfum, Isopropyl Alcohol, Acetic Acid, Potassium Sorbate, Sodium Benzoate, Benzyl Alcohol, Phenoxyethanol, Ethylhexylglycerin, 1,2-Hexanediol, Caprylyl Glycol, Hexyl Cinnamal, Linalool, Limonene, Geraniol, Citronellol, Alpha-Isomethyl Ionone, Coumarin, Butylphenyl Methylpropional.	Украина	Не подходит кудряшкам	Средняя
Масло	Утюг ●●●	Пленки, защита от внешних факторов	Питание	The Act labs Extra Hair Oil Serum Масло для всех типов волос восстанавливающее		Cyclopentasiloxane, Dicaprylyl Carbonate, Dimethiconol, Brassica Oleracea Italica (Broccoli) Seed Oil, Ricinus Communis (Castor) Seed Oil, Cocos Nucifera (Coconut) Oil, Argania Spinosa (Argan) Kernel Oil, Macadamia Ternifolia Seed Oil, Bis (C13-15 Alkoxy) PG-Amodimethicone, Phenyl Trimethicone, Fragrance	РФ/СНГ	Кудряшкам не подойдет	Высокая
Крем	Фен ●	Смягчение, распутывание	Питание Восстановление	The heal Несмываемый крем для восстановления гладкости и плотности волос		Aqua, Myristyl Alcohol, Cetearyl Alcohol, Behentrimonium Methosulfate, Cetrimonium Chloride, Phenyltrimethicone, Dimethicone, Simmondsia Chinensis (Jojoba) Seed Oil, Hydrolyzed Silk, C10-40 Isoalkylate, Hydrolyzed Collagen, Hydrolyzed Elastin, Panthenol, Fragrance, Ethylhexylglycerin, Phenoxyethanol.	РФ/СНГ	Для любого типа волос, есть 18-МЕА	Высокая
Сыворотка	Нет	Комплексный уход длительного воздействия	Увлажнение	The Ordinary Hair Care. Natural Moisturizing Factors + HA Увлажняющая сыворотка для кожи головы		Aqua (Water), Squalane, C12-13 Alkyl Glyceryl Hydrolyzed Hyaluronate, Arginine, Aspartic Acid, Glycine, Alanine, Serine, Valine, Isoleucine, Proline, Threonine, Histidine, Phenylalanine, Glutamic Acid, Glucose, Fructose, Sucrose, PCA, Sodium PCA, Zinc PCA, Magnesium PCA, Manganese PCA, Urea, Sodium Lactate, Lactic Acid, Hexyl Nicotinate, Lauryl Glucoside, Myristyl Glucoside, Polyglyceryl-6 Laurate, Isoceteth-20, Dextrin, Hexylene Glycol, Potassium Sorbate, Phenoxyethanol, Chlorphenesin	Канада	Можно использовать для пересушенной кожи головы, Prodew® 500	Высокая
Крем	Фен ●	Пленки, разглаживание, защита от внешних факторов	Поверхностный уход 	TIGI Bed Head After Party Hair Cream		Water (Aqua/Eau), Dimethicone, Cyclopentasiloxane, Dimethiconol, Acrylamide/sodium Acryloyldimethyltaurate Copolymer, Phenyl Trimethicone, Propylene Glycol, Isohexadecane, Phenoxyethanol, Fragrance (parfum), Peg-8 Methicone, Ethylhexyl Hydroxystearate, Polysorbate 80, Sorbitan Oleate, Peg-4dilaurate, Peg-4 Laurate, Iodopropynyl Butylcarbamate, Peg-4, Sodium Pca, Dimethicone Peg-8 Meadowfoamate, Panthenol, Cinnamidopropyltrimonium Chloride, Amyl Cinnamal, Benzyl Salicylate, Citral, Citronellol, Geraniol, Hexyl Cinnamal, Hydroxycitronellal, Limonene, Linalool, Bismuth Oxychloride (ci 77163), Mica (ci 77019), Titanium Dioxide (ci 77891) 	США		Высокая
Сыворотка	Нет		Увлажнение	TIGI Bed Head Control freak Frizz control and Straightening Сыворотка для гладкости и дисциплины волос для стайлинга		Water (Aqua/Eau), Propylene Glycol, Glycerin, Oleth-20, Phenoxyethanol, Fragrance (Parfum), Dimethicone PEG-8 Meadowfoamate, Helianthus Annuus (Sunflower) Seed Oil, Actinidia Chinensis (Kiwi) Fruit Extract, Jasminum Officinale (Jasmine) Extract, Hydroxyethylcellulose, Carbomer, Polyquaternium-11, PEG-12 Dimethicone, Aminomethyl Propanol, Disodium EDTA, PEG-45M, PEG-4 Dilaurate, PEG-4 Laurate, Benzophenone-4, Iodopropynyl Butylcarbamate, PEG-4, Silica, Amyl Cinnamal, Benzyl Benzoate, Citronellol, Hexyl Cinnamal, Hydroxycitronellal, Limonene, Linalool, Blue 1 (CI 42090), Red 33 (CI 17200), Yellow 5 (CI 19140), Mica (CI 77019), Titanium Dioxide (CI 77891).	США	Кудряшкам можно пробовать, если нет проблем с завитком	Высокая
Сыворотка	Фен ●	Антистатик, пленки	Увлажнение	Time to grow   Сыворотка восстанавливающая с биоидентичными церамидами		deionized water, polyquaternium-37, propylene glycol dicaprate dycaprylate, ppg-1 trideceth-6, bis-cetearyl amodimethicone, ceteareth-7, ceteareth-25, creatin, quaternium - 80, phenyltrimethicone, green tea extract, phenoxyethanol, glyceryl laurate, cetrimonium chloride, ceramide 3, ceramide 6, ceramide 1, phytosphingosine, cholesterol, sodium lauroyl lactylate, carbomer, xanthan gum, fragrance, мethylisothiazolinone, disodium edta	РФ/СНГ	Можно пробовать кудряшкам	Высокая
Крем	Нет	Комплексный уход длительного воздействия	Комплексный уход (увлажнение, питание, восстановление)	Vieso  Питательный с Мёдом Крем для Волос 		aqua(water), vitis vinifera seed oil, butyrospermum parkii oil, polyacrylamide, mel extract, hyaluronic acid, lavandula angustifolia oil, hydrolyzed vegetable protein, rosa damascena flower oil, citrus aurantium dulcis (orange) peel oil, phenoxyethanol	ЕС	Для любого типа волос	Высокая
Крем	Фен (слабая) ●		Комплексный уход (увлажнение, питание, восстановление)	VIRGIN HAIR  Крем- суфле 		Water, Cetearyl Alcohol (and) Behentrimonium Methosulfate, Panthenol, Hydrolyzed Silk Protein, Potassium Dimethicone PEG-7 Panthenyl Phosphate , Collagen , Hydrolysed elastin , Jojoba Butter, C10-40 Panthenol Esters, Cyclomethicone, Bis-Ethyl(isostearylimidazoline) Isostearamide , Lactic acid, Parfum, Phenoxyethanol , Ethylhexylglycerin.	РФ/СНГ	18-МЕА	Высокая
Спрей	Нет		Увлажнение	Wella Professionals Invigo sun  Спрей для защиты окрашенных волос от уф-лучей		Aqua, Isododecane, Isopropyl Alcohol, Panthenol, Phenoxyethanol, Parfum, Ethylhexyl Methoxycinnamate, Cetrimonium Chloride, Polyquaternium-6, Tocopheryl Acetate, Sodium Cocoamphoacetate, Polysorbate 20, Benzyl Salicylate, Hexyl Cinnamal, Butylphenyl Methylpropional, Limonene, Citronellol, PEG-20 Glyceryl Laurate, Linalool, Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde, Cinnamyl Alcohol, Tocopherol, Linoleic Acid, Eugenol, Geraniol, Retinyl Palmitate, Diethylhexyl Syringylidenemalonate, Caprylic/Capric Triglyceride, Провитамин B5, Витамин E.	ЕС	Можно использовать кудряшкам	Высокая
Масло	Утюг ●●●	Пленки, защита от внешних факторов	Поверхностный уход 	Wella Professionals  Reflections Luminous smoothening Oil Разглаживающее масло для интенсивного блеска		Cyclopentasiloxane, Dimethiconol, Alcohol Denat., Parfum, Tocopheryl Acetate, Hexyl Cinnamal, Linalool, Limonene, Aqua, Persea Gratissima Oil, Macadamia Ternifolia Seed Oil, Cocos Nucifera Oil, Alpha-Isomethyl Ionone	ЕС	Кудряшкам не подойдет, может подсушивать волосы	Высокая